	218RZ_MBS072_C_POST	135EA_MBS074_C_POST	808ZJ_MBS076_C_POST	218RZ_MBS084_C_POST	276AQ_MBS086_A_INITIAL	148JV_MBS088_A_INITIAL	308HP_MBS089_A_INITIAL	135EA_MBS090_C_POST	276AQ_MBS091_B_CLOSING	148JV_MBS092_B_CLOSING	308HP_MBS093_B_CLOSING	808ZJ_MBS094_C_POST	276AQ_MBS095_C_POST	308HP_MBS096_C_POST	148JV_MBS098_C_POST	308HP_MBS099_B_CLOSING	276AQ_MBS100_C_POST	808ZJ_MBS101_A_INITIAL	135EA_MBS303_A_INITIAL	135EA_MBS304_B_CLOSING	808ZJ_MBS305_A_INITIAL	218RZ_MBS306_A_INITIAL	218RZ_MBS307_A_INITIAL	218RZ_MBS308_C_POST	808ZJ_MBS309_C_POST	135EA_MBS311_C_POST	818VB_MBS527_A_INITIAL	818VB_MBS534_C_POST	308HP_MBS535_C_POST	818VB_MBS537_B_CLOSING	818VB_MBS544_C_POST	392XO_MBS545_B_CLOSING	308HP_MBS546_C_POST	392XO_MBS547_C_POST	392XO_MBS549_A_INITIAL	276AQ_MBS550_C_POST	148JV_MBS551_C_POST	392XO_MBS552_C_POST	818VB_MBS553_C_POST	392XO_MBS587_C_POST	809BP_MBS097_A_INITIAL	412AD_MBS295_A_INITIAL	412AD_MBS296_C_POST	412AD_MBS297_C_POST	412AD_MBS298_C_POST	715BH_MBS528_B_CLOSING	715BH_MBS529_A_INITIAL	715BH_MBS530_A_INITIAL	809BP_MBS531_C_POST	715BH_MBS532_A_INITIAL	809BP_MBS533_B_CLOSING	809BP_MBS536_C_POST	715BH_MBS539_B_CLOSING	809BP_MBS542_A_INITIAL	715BH_MBS543_C_POST	715BH_MBS548_C_POST	664SB_MBS585_B_CLOSING	664SB_MBS586_C_POST
Shigella dysenteriae	1.327922267	1.304548107	1.430255534	1.249457594	1.144658008	NA	1.271109649	1.254889326	NA	NA	1.33459949	NA	1.423404663	1.457742461	NA	1.312652358	1.13715481	1.094953921	NA	NA	NA	1.073427197	1.172689669	1.196337052	NA	1.354345016	1.117907961	1.101889708	1.339323982	NA	1.538405165	1.35226533	1.201395346	1.439921456	1.608097598	NA	1.517257095	1.442440488	1.544713378	1.22674744	1.474748416	0.972832715	1.469510658	1.620953076	1.299140186	NA	1.0775266	NA	NA	NA	NA	1.268268834	NA	NA	1.108542705	1.044451821	NA	NA
Shigella flexneri	1.09954924	1.377977422	NA	NA	1.063525729	NA	1.124021271	NA	NA	1.215871946	1.134967587	NA	1.24591683	1.341187165	1.243475061	1.22976694	1.237523885	1.35975999	NA	NA	NA	1.062910533	1.156232268	1.352479137	NA	1.311354643	1.07571762	1.142805218	1.144127987	NA	1.391800026	1.354634901	1.316711798	1.156377229	1.262489712	NA	1.193489321	1.372442542	1.297351398	0.985646629	1.460692995	1.353088931	1.359645591	1.572788721	1.191807537	NA	0.992819326	NA	NA	NA	NA	1.426982328	NA	NA	0.896007598	1.297042682	NA	NA
Alistipes shahii	1.0887438	NA	NA	1.042904366	1.030708034	1.029392545	1.025976896	0.998250343	1.038129054	0.982728854	1.040647978	NA	1.034644088	1.022324785	0.926426654	1.01642081	0.999679312	NA	0.944669958	NA	NA	NA	NA	0.960629921	NA	NA	1.033542977	1.120503446	1.035469183	1.166666667	1	1.111111111	1.00312971	1.041666667	1.030268303	1.041979421	1.0204835	1.025027754	1.039215686	1.024930748	1.00976718	NA	NA	NA	NA	NA	1.035424354	NA	NA	1.375	1	1.125	1.166666667	NA	NA	NA	NA	NA
Klebsiella variicola	NA	1.465831881	NA	NA	1.330962779	NA	1.475799912	1.568743053	1.447584192	NA	1.503918523	NA	1.567154721	NA	1.308825006	NA	1.752968388	NA	NA	NA	NA	1.420044383	NA	1.488297143	NA	1.706218889	NA	1.494856814	1.617291695	1.742167692	1.617909795	NA	NA	NA	1.668801536	NA	NA	1.585697009	2.358705543	NA	1.451615312	NA	1.525106918	1.518519561	1.398006206	1.363595242	1.446348487	1.725364748	1.371336167	1.565407027	NA	1.307367738	2.101768598	1.306205161	NA	1.855143045	NA	NA
Ruminococcus sp. SR1/5	NA	1.24340331	1.101869616	1.010496183	1.382009641	NA	NA	1.313795196	NA	NA	NA	1.101045296	1.396892655	NA	NA	NA	1.289473684	1.398760331	1.231678487	NA	1.164456981	NA	NA	NA	1.204370939	1.258327577	1.067226891	1.496174687	1.307692308	1.142857143	1.34	NA	1.350710901	NA	NA	1.544723344	NA	NA	NA	NA	1.252556241	NA	NA	NA	NA	1.398065749	1.257305195	1.454763377	NA	1.28	1.333333333	1.423178132	1.285714286	NA	1.423961991	1.468488819	NA	1.306708996
Streptococcus parasanguinis	1.255677214	1.549330933	1.537385736	NA	1.249999894	1.27541422	1.3	1.588666718	NA	1.469142963	NA	1.269822247	NA	NA	1.527366838	NA	NA	1.223769192	1.34707922	1.462706453	NA	NA	NA	1.411764706	1.628563132	1.26181977	1.687423536	NA	NA	NA	1.621291569	NA	NA	NA	NA	NA	1.314211746	1.4375	1.597477205	1.694597846	1.534609324	NA	NA	NA	NA	NA	1.658909766	NA	1.487251749	NA	1.526593618	1.837596262	NA	1.61007879	1.636983132	1.428571429	NA	1.272727273
Ruminococcus bromii	1.099775155	1.333333333	1.215501931	0.991139661	1.193594542	1.333333333	1.224776999	1.2	1.303815695	NA	1.26483233	1.27157668	1.360248055	1.329495671	NA	1.282809612	1.081520097	1.42715959	NA	NA	1.538407983	NA	NA	NA	1.271062271	NA	NA	NA	1.371601763	NA	NA	NA	1.248271301	NA	1.430278885	1.337488667	NA	1.324836601	NA	1.734104046	1.526494277	NA	NA	NA	NA	NA	1.26369989	1.566037736	NA	1.125	NA	1.2	NA	1.565217391	NA	NA	NA	NA
Akkermansia muciniphila	1.333333333	1.222222222	1.23529418	1.277777778	1.240295749	1.285714286	1.177166888	1.217391304	1.25	1.142857143	1.150016687	1.1	1.142857143	1.14032	1.2	1.122413603	1.1	1.155844156	NA	NA	NA	NA	NA	NA	NA	NA	1.202297719	1.230769231	1.186046512	NA	1.227272727	NA	1.195443876	1.2	NA	1.280632411	NA	NA	1.264705882	NA	0.996014751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.055555556	NA	NA	NA	1.272727273
Shigella boydii	1.251053279	1.281314013	NA	NA	1.29093665	NA	1.247100332	NA	NA	NA	1.086922434	NA	1.146606002	1.412312041	1.582301108	1.208340947	1.059346853	1.465969111	NA	NA	NA	1.306746251	NA	NA	NA	1.06034427	NA	1.251253166	1.048731436	1.033003401	1.117584824	NA	1.171967184	NA	1.117145613	NA	1.406650337	1.204154257	NA	NA	NA	NA	1.453665554	1.401017926	1.112194327	NA	1.0805489	NA	NA	NA	NA	1.120156731	NA	NA	1.209861243	1.331982793	NA	NA
butyrate-producing bacterium SSC/2	NA	1.098262032	1.076359218	NA	1.06122449	0.882486026	NA	1.016561072	1.188263633	NA	NA	1.081705151	1.065693431	NA	NA	NA	1.135135135	1.165591398	1.055555556	NA	1.043478261	NA	NA	NA	1.172413793	1.054545455	1.078947368	1.134920635	NA	NA	1.081081081	NA	NA	NA	NA	1.084826762	1.12808642	NA	1.166464156	NA	NA	NA	NA	NA	NA	1.13173731	0.975672215	1.138285772	NA	NA	NA	NA	NA	1	1.106703254	1.066707313	NA	1.086956522
