	218RZ_MBS072_C_POST	135EA_MBS074_C_POST	808ZJ_MBS076_C_POST	218RZ_MBS084_C_POST	276AQ_MBS086_A_INITIAL	148JV_MBS088_A_INITIAL	308HP_MBS089_A_INITIAL	135EA_MBS090_C_POST	276AQ_MBS091_B_CLOSING	148JV_MBS092_B_CLOSING	308HP_MBS093_B_CLOSING	808ZJ_MBS094_C_POST	276AQ_MBS095_C_POST	308HP_MBS096_C_POST	148JV_MBS098_C_POST	308HP_MBS099_B_CLOSING	276AQ_MBS100_C_POST	808ZJ_MBS101_A_INITIAL	135EA_MBS303_A_INITIAL	135EA_MBS304_B_CLOSING	808ZJ_MBS305_A_INITIAL	218RZ_MBS306_A_INITIAL	218RZ_MBS307_A_INITIAL	218RZ_MBS308_C_POST	808ZJ_MBS309_C_POST	135EA_MBS311_C_POST	818VB_MBS527_A_INITIAL	818VB_MBS534_C_POST	308HP_MBS535_C_POST	818VB_MBS537_B_CLOSING	818VB_MBS544_C_POST	392XO_MBS545_B_CLOSING	308HP_MBS546_C_POST	392XO_MBS547_C_POST	392XO_MBS549_A_INITIAL	276AQ_MBS550_C_POST	148JV_MBS551_C_POST	392XO_MBS552_C_POST	818VB_MBS553_C_POST	392XO_MBS587_C_POST	809BP_MBS097_A_INITIAL	412AD_MBS295_A_INITIAL	412AD_MBS296_C_POST	412AD_MBS297_C_POST	412AD_MBS298_C_POST	715BH_MBS528_B_CLOSING	715BH_MBS529_A_INITIAL	715BH_MBS530_A_INITIAL	809BP_MBS531_C_POST	715BH_MBS532_A_INITIAL	809BP_MBS533_B_CLOSING	809BP_MBS536_C_POST	715BH_MBS539_B_CLOSING	809BP_MBS542_A_INITIAL	715BH_MBS543_C_POST	715BH_MBS548_C_POST	664SB_MBS585_B_CLOSING	664SB_MBS586_C_POST
Gordonibacter pamelaeae	NA	1.117416419	1.104926719	NA	NA	1.207139983	0.966397136	NA	1.24137931	1.104489326	0.929597283	NA	NA	0.980237681	1.241008115	0.952647537	NA	1.102476493	NA	NA	1.239665208	NA	NA	NA	NA	1.293073282	NA	NA	0.874548768	NA	NA	NA	1.133333333	NA	NA	1.416666667	1.192596158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megamonas hypermegale	NA	1.294117647	1.267193821	NA	1.2734375	NA	NA	1.301587302	1.307291667	NA	NA	1.261627907	1.354166667	NA	NA	NA	1.222222222	1.258143182	1.386777618	1.25	1.278564785	NA	NA	NA	1.276190476	1.363636364	1.282655246	NA	NA	NA	NA	NA	NA	NA	NA	1.274941995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adlercreutzia equolifaciens	NA	NA	1.444444444	NA	NA	1.068973656	NA	NA	1.050171206	NA	NA	NA	1.461538462	NA	NA	NA	1.571428571	1.333333333	NA	NA	1.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.244444444	1.120915033	NA	1.25	NA	NA	NA	NA	NA	NA	1.425480769	1.051282051	1.058715596	NA	NA	NA	NA	NA	NA	1.185	1.162570881	NA	1
Alistipes finegoldii	NA	NA	NA	NA	0.924644153	1.002309349	NA	1.076706996	0.942717463	NA	NA	NA	NA	NA	1.010842241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.989128357	1.110361473	NA	NA	0.992138248	NA	NA	NA	0.964589235	NA	0.978660586	1.030710388	0.992957747	0.992980531	1.21284966	NA	NA	NA	NA	NA	1.055902778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0390625
Bifidobacterium dentium	NA	NA	NA	NA	NA	1.198146151	NA	NA	NA	1.083146192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	1.359482555	NA	NA	1.411823224	NA	NA	NA	1.222220314	NA	1.230983118	1.245003877	1.5	1.184210526	1.418444885	1.18150128	NA	1.111111111	1.142857143	NA	1.331210191	NA	NA	NA	NA	NA	NA	1.285714308	NA	NA	NA	NA
Enterococcus faecalis	NA	1.437590775	NA	NA	NA	NA	1.454443147	NA	NA	1.1875	NA	NA	NA	NA	NA	NA	1.212964499	1.442043477	NA	NA	1.368422687	NA	NA	NA	1.306350701	NA	1.303004196	1.126908682	NA	1.136347363	1.284246973	NA	NA	NA	NA	NA	NA	1.346166408	NA	NA	NA	1.402873722	NA	NA	NA	NA	NA	NA	1.147593658	NA	NA	1.323565878	NA	1.209350765	NA	NA	NA	NA
Lactobacillus salivarius	NA	NA	NA	NA	NA	1.234774067	1.166666667	NA	NA	1.204917965	NA	NA	NA	1.337142857	1.298165138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.253881831	1.337817888	NA	1.125	1.476190476	NA	NA	NA	1.266666667	1.174603175	1.13295902	1.329268293	1.284391463	1.28	NA	1.206270336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus infantarius	NA	0.97326147	NA	1.117696496	NA	NA	0.958542215	1.189037977	NA	NA	0.999265179	1.175688514	NA	1.098792854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03226805	1.233439063	1.356905515	1.002251516	NA	NA	NA	1.248955764	NA	NA	NA	0.995799155	1.272579875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.169101484	1.386051841	NA	NA	NA	NA
Bacteroides fragilis	1.278426045	NA	NA	1.131285252	NA	NA	NA	1.166666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.381355932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.138147723	1.531605417	1.727272727	1.244292288	1.24334134	NA	1.380952381	1.15	NA	NA	NA	NA	NA	1.232275183	1.534458994	1.351943463	NA	1.360824742
Bifidobacterium adolescentis	NA	1.129856621	1.168696255	NA	1.246548934	1.215730314	NA	1.23822093	1.129356534	NA	1.346576875	1.146698488	1.143917943	NA	NA	NA	1.109090909	1.27755607	NA	NA	1.301857271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.153876475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.263612104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus fermentum	NA	NA	NA	NA	NA	1.333333333	NA	NA	NA	1.186206897	NA	NA	NA	NA	1.150297897	NA	NA	NA	NA	NA	1.214706477	NA	NA	NA	NA	NA	1.209302326	1.289684251	NA	1.157894737	NA	NA	1.339594223	NA	NA	NA	1.174111775	NA	NA	NA	1.086046512	NA	NA	NA	NA	NA	1.23183409	NA	1.294117647	NA	NA	1.32394822	1.232691459	1.134088236	NA	NA	NA	NA
Streptococcus thermophilus	1.135428711	1.121360926	1.250966782	NA	NA	1.139570309	NA	1.306495294	NA	NA	1.076983861	1.203971343	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	1.303771857	NA	NA	NA	NA	NA	NA	NA	NA	1.31202453	NA	1.282090397	NA	NA	NA	NA	NA	NA	NA	1.320599792	NA	NA	NA	NA	NA	NA	1.201131157	1.330114874	1.291396044	NA	NA
Coprococcus catus	1.224032587	NA	NA	1.008064516	1.261708436	NA	NA	NA	NA	NA	NA	NA	1.384615385	NA	NA	NA	1.158252033	1.235294118	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA	NA	1.207236842	NA	NA	NA	NA	1.205593513	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.189301763	1.18556701	1.210332103	NA	NA	NA	NA	NA	NA	1.305517614	1.244048222	NA	NA
Enterococcus faecium	NA	NA	NA	NA	NA	NA	1.299780671	NA	NA	NA	NA	NA	NA	1.466666667	1.37037037	NA	NA	NA	NA	1.3125	NA	1.25	NA	NA	NA	NA	1.4375	1.285714286	NA	NA	1.300675676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.319532797	1.178460107	NA	NA	NA	NA	NA	1.574198325	NA	NA	1.857142857	NA	1.512195122	NA	NA	1.329288128	NA
Methanobrevibacter smithii	NA	NA	NA	NA	NA	NA	0.952865735	0.888888889	NA	NA	0.947533347	NA	NA	0.946991249	NA	0.930458971	NA	0.909090909	NA	NA	NA	NA	NA	NA	NA	NA	0.902146986	0.851612903	0.827586207	0.976190476	0.89321075	NA	0.925376704	NA	NA	NA	NA	NA	0.908827786	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rothia mucilaginosa	NA	NA	NA	NA	NA	NA	NA	1.275000036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.285714286	NA	NA	NA	NA	NA	NA	NA	1.491803279	1.444444444	1.25	1.35577798	1.25	NA	NA	NA	NA	NA	NA	1.428571429	1.142857143	1.423076923	1.333333336	1.4	1.111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.44	NA	NA	NA
Streptococcus anginosus	1.104116219	NA	1.303900924	1.104390496	NA	0.983715827	NA	NA	NA	NA	NA	NA	NA	NA	1.12880404	NA	NA	1.021133056	NA	NA	NA	NA	NA	NA	NA	NA	1.223313026	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.151713996	NA	NA	1.069849607	1.137906254	NA	NA	NA	NA	NA	1.119804637	NA	NA	NA	NA	NA	1.254953498	NA	1.1666062	NA	NA	1.024086316
Streptococcus sanguinis	NA	NA	1.166666667	NA	NA	1.458141206	NA	1.366883286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.200260301	NA	NA	1.545457986	NA	NA	NA	NA	NA	1.64201974	1.533163798	NA	1.444444444	1.233352965	NA	NA	NA	NA	NA	NA	NA	1.430879283	NA	NA	1.48480317	1.355551748	NA	1.537448899	NA	NA	1.226970457
[Ruminococcus] torques	NA	NA	1.173548915	NA	NA	NA	NA	1.125564432	NA	NA	NA	1.108332687	1.189397171	NA	NA	NA	1.122840691	1.12803532	NA	NA	NA	NA	NA	NA	NA	NA	1.091349259	NA	NA	NA	NA	NA	NA	NA	NA	1.079110012	NA	NA	1.145	NA	NA	NA	NA	NA	NA	1.045	1.089028945	NA	NA	NA	NA	NA	NA	NA	1.087093487	1.111602346	NA	NA
Bifidobacterium breve	NA	NA	NA	NA	NA	1.12428679	0.853118576	NA	NA	1.151753586	NA	NA	NA	0.983699165	1.102136898	1.159933739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1141891	NA	NA	1.003738529	1.198720041	NA	1.165418311	NA	1.172956969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.173056002	NA	NA	NA	NA
Roseburia intestinalis	NA	1.325691293	NA	1.073952079	1.217391304	NA	1.39324026	1.221085388	1.176470588	NA	1.271445152	NA	1.246708407	1.25	NA	NA	1.287292818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.212844037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.027953511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Morganella morganii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538961039	1.563218391	1.658156954	NA	NA	NA	NA	NA	NA	1.2	1.378663069	NA	1.268466791	1.31122449	NA	NA	NA	NA	NA	NA	1.666666675	1.436285993	1.166666667	1.166666722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haemophilus parainfluenzae	1.3	NA	NA	NA	NA	NA	NA	1.31209719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.323863375	NA	NA	NA	NA	NA	NA	NA	1.378947368	NA	1.283333734	NA	1.333311116	NA	NA	NA	1.290227583	NA	NA	NA	NA	NA	NA	1.285714286	1.339361478	1.5	NA	NA
Streptococcus gordonii	NA	1.435300634	NA	NA	NA	1.427653472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.426167691	1.412037202	1.333333333	NA	NA	NA	NA	NA	NA	NA	NA	1.544646958	1.428571429	NA	1.525975865	1.540675009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.36859389	NA	NA	NA	NA
Streptococcus oralis	NA	1.215885876	NA	NA	NA	NA	NA	1.324128749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.238885651	1.371428571	NA	NA	NA	NA	NA	NA	NA	NA	1.545454546	NA	NA	1.2	1.328261908	NA	NA	NA	NA	NA	1.422435065	NA	1.372140151	NA	NA	NA	NA	1.178691449	NA	NA	NA	NA
Clostridium saccharolyticum	NA	NA	NA	NA	NA	1.138721595	1.325528388	NA	NA	NA	1.316484445	NA	NA	1.25937276	NA	1.240618236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.235218983	NA	NA	NA	1.292933687	NA	1.186635516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2850209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eubacterium siraeum	NA	NA	NA	NA	0.999263709	1	NA	NA	1.1675	NA	NA	NA	1.178351317	NA	NA	NA	1.013196481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06122449	NA	NA	NA	NA	1.169884325	NA	NA	1.051835853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.172661871
Megasphaera elsdenii	NA	NA	1.647887324	NA	1	NA	NA	1.415085478	NA	NA	NA	1.484848485	0.928571429	NA	NA	NA	NA	1.481481482	NA	NA	1.612546941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.016949156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
[Eubacterium] cylindroides	0.944721256	NA	NA	0.994217266	1.023718648	NA	NA	NA	1.010309278	NA	NA	NA	1.086124402	NA	NA	NA	0.998439938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.041994751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.949917714	1.011869436
Bifidobacterium bifidum	NA	1.173123717	1.280165367	NA	1.204676776	1.192802312	NA	NA	NA	NA	1.093010589	1.197668748	NA	NA	NA	NA	NA	1.21552801	NA	NA	1.161326012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enterobacter aerogenes	NA	NA	NA	NA	NA	NA	1.555555556	NA	NA	1.547505399	NA	NA	NA	NA	NA	1.434970358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.297422563	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.545454546	NA	1.74966012	NA	NA	NA	NA	NA	NA	NA	NA	1.224446202	NA	NA	NA	1.601451899	NA	NA	NA	NA	NA	NA
Lactobacillus gasseri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.255813944	1.196427608	NA	NA	NA	NA	NA	NA	NA	NA	1.4500119	NA	NA	NA	1.268895431	NA	NA	NA	NA	NA	1.367332878	NA	NA	NA	NA	NA	1.098109475	1.240621086	NA	NA	NA	NA
Streptococcus mutans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.307692308	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.230769231	NA	NA	NA	NA	1.166666667	1.222222222	NA	1.196787149	1.2	NA	NA
Streptococcus pasteurianus	NA	NA	NA	NA	NA	1.326949763	1.203263252	NA	NA	NA	1.214072769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.276866671	1.274409527	NA	NA	1.316421659	NA	NA	NA	NA	NA	NA	NA	1.315600883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
[Ruminococcus] obeum	NA	NA	NA	NA	1.158336429	NA	NA	NA	NA	NA	NA	NA	1.181034483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.297641629	NA	NA	1.160583942	NA	NA	NA	NA	1.571104644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.302550572	1.236464088	NA	NA
Enterococcus casseliflavus	NA	NA	0.8125	NA	NA	NA	1.499254416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	NA	NA	NA	NA	NA	1.185185185	NA	1.081632653	NA	NA	1.617647059	NA	NA	NA	NA	NA	NA
Enterococcus sp. 7L76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.28524419	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.428164204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.215668802	NA	NA	1.249616823	NA	NA	NA	NA	NA	NA	NA	1.347300273	NA	NA	NA	NA	1.37050583	NA	NA	NA	NA
Lactobacillus casei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.401208612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33320829	NA	NA	NA	1.117650252	NA	1.25	NA	NA	NA	1.666433691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus sp. I-P16	NA	1.256393239	NA	NA	NA	NA	NA	1.370201222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.201659668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.279478227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.308307051
Streptococcus constellatus	1.197994919	NA	1.128308702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.200318311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.101018957	NA	NA	NA	NA	NA	0.957953682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Proteus mirabilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.273640166	1.475206612	1.314814815	1.371050894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus mitis	NA	1.280988463	NA	NA	NA	NA	NA	1.42591085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.367407501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.55315645	NA	NA	NA
Streptococcus sp. I-G2	1.120892382	NA	0.930563935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.084281863	NA	NA	NA	NA	NA	NA	NA	1.190027274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus lutetiensis	NA	1.332284723	NA	NA	NA	NA	1.439387744	NA	NA	NA	NA	NA	NA	1.146377636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus pseudopneumoniae	NA	1.281740056	NA	NA	NA	NA	NA	1.249928019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.331476916	NA	NA	NA
[Clostridium] difficile	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.347931874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.605263158	NA
Bifidobacterium animalis	NA	NA	1.435185494	NA	NA	NA	NA	NA	NA	NA	NA	1.428570932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium perfringens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.833333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Klebsiella oxytoca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.554372468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.877772002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus crispatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.331972772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.418432039	NA	NA	NA	NA	NA	NA
Lactobacillus delbrueckii	NA	NA	NA	NA	NA	NA	NA	1.324692107	NA	NA	NA	1.155328798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus johnsonii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.191489378	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.159213	NA	NA	NA	NA	NA	NA
Lactobacillus ruminis	NA	NA	NA	NA	NA	NA	NA	1.237517427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2109375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campylobacter hominis	NA	NA	NA	1.090909091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynebacterium argentoratense	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fusobacterium nucleatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.266666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus paracasei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.863107708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus sakei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactococcus lactis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leuconostoc mesenteroides	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Community Growth Rate	1.175553345	1.273579916	1.17877095	1.046568506	1.157847414	1.225165563	1.224776999	1.294112514	1.123022166	1.087543103	1.26483233	1.105821279	1.278520533	1.20472441	1.178826174	1.22976694	1.09943843	1.196193265	1.091324201	1	1.047619048	1.073427197	1	1.25199966	1.165804635	1.179651953	1.117117117	1.214683153	1.295610756	1.102033544	1.232944717	1.111111111	1.23001372	1.156377229	1.286344566	1.041979421	1.113652869	1.26907556	1.297351398	1.194206624	1.263558785	1	1	1	1	1	1.26369989	1	1	1.125	1	1.307367738	1.033333333	1	1.292225201	1.2601083	1	1.151515152
