	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P13E0	P13E7	P13E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P12E0	P12E7	P12E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P19E0	P19E7	P19E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P2E0	P2E7	P2E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90
Eubacterium siraeum	1.203787559	1.345633714	1.094658789	NA	NA	1.333333333	1.211460856	1.027777778	1.16798419	1.219354839	1.358007449	1.327272727	1.266044989	1.05898525	1.104731147	1.143497758	1.157894737	NA	1.160130719	1.10873106	1.131313131	NA	NA	1.245283019	1.204545455	1.285714286	1.190476191	NA	NA	NA	1.208043478	1.170624067	1.181034483	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ruminococcus sp. SR1/5	1.415499887	NA	1.458646617	1.394498917	NA	1.358974359	1.277718512	1.46969697	1.314582703	1.393982066	NA	1.552631579	1.309933957	NA	1.328828829	NA	NA	NA	NA	1.280373832	1.206349206	1.10382112	NA	NA	NA	NA	1.210526316	1.413134395	NA	NA	1.391973502	NA	1.412450397	1.288423117	1.178793257	1.546932964	1.375	1.561403509	1.295482455	1.283018868	NA	NA
Adlercreutzia equolifaciens	0.940943283	NA	0.987190677	1	NA	0.973684211	0.8269043	0.823529412	0.894920039	NA	NA	NA	0.847397827	0.810810811	0.740740741	1	NA	1	NA	1.105263158	NA	0.777777778	NA	0.741935484	0.882352941	1	0.875	1.05	NA	0.947368421	NA	1.004444064	1.081049583	0.870177667	0.870060585	NA	NA	NA	NA	NA	NA	NA
Alistipes finegoldii	NA	NA	NA	1.044651762	NA	1.027770844	1.046505835	1.052995392	1.024105562	NA	NA	NA	1.04065679	0.995280543	0.990352416	NA	NA	NA	1.023349257	1.045401487	1.061574503	0.999939605	1.055414384	0.986738628	0.990247989	0.976853023	1.016505334	NA	NA	NA	1.033262905	1.043073049	1.035934976	1.045786404	1.053149261	NA	NA	NA	NA	0.995897175	NA	1.027499097
Ruminococcus bromii	1.503184713	1.668067227	1.319386332	NA	NA	NA	1.37964775	1.441193345	1.375084175	1.253121453	1.459600348	1.304488092	1.334523882	NA	1.425485961	1.461538462	NA	NA	1.318181818	1.334862385	1.331151833	NA	NA	NA	1.404569253	1.399075501	1.299651582	NA	NA	NA	1.388412017	1.318866253	1.421959487	1.642166344	1.666181185	1.29601227	NA	NA	NA	NA	NA	NA
Roseburia intestinalis	NA	NA	1.171052632	1.188212641	NA	1.153038844	NA	1.159509203	1.256778309	1.166666667	1.238683866	NA	1.2	1.1875	NA	NA	NA	1.241172161	1.273913044	1.226898542	1.204545455	1.22321717	NA	1.377906977	1.264573991	1.260416667	1.436105477	1.17948718	NA	NA	NA	NA	NA	1.230846774	1.298192771	1.066666667	1.463768116	NA	NA	NA	NA	NA
Ruminococcus torques	1.156573965	NA	NA	1.153846154	NA	NA	1.167361111	NA	1.115866888	1.195876289	NA	1.111111111	1.138930496	NA	1.11320211	NA	NA	NA	1.156169778	NA	1.106382979	1.242236025	NA	1.207773937	1.115303487	NA	1.195053384	1.216456171	NA	1.12	1.017618579	NA	1	1.070175439	1.071428571	1.192902681	1.143986254	NA	NA	1.048689139	NA	NA
Bacteroides thetaiotaomicron	NA	NA	NA	1.149705589	1.134216893	1.108170219	1.233022683	1.276192378	1.266616834	1.139686	1.215796982	1.165944757	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.319820858	1.229725318	1.189640323	1.092502409	1.145374449	1.058066769	1.151617297	1.294139882	1.186192346	NA	NA	NA	1.261180429	1.242594926	1.246246246	NA	NA	NA	NA	NA	1.286136696
Bacteroides xylanisolvens	1.522314501	1.065303452	1.170000844	1.237322515	1.328870117	1.370389351	1.030655391	1.002561327	1.087221615	1.140895028	NA	1.127185211	NA	NA	NA	NA	1.323119686	NA	1.040955631	NA	1.013118833	1.128713294	NA	1.113473576	1.03009992	1.022167488	1.006962652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.159009642	1.14715978	1.170556232
Streptococcus salivarius	NA	NA	1.459635637	NA	NA	1.448778036	1.624072571	NA	1.792597992	1.899839668	NA	1.71011834	1.805984256	NA	1.627056368	NA	NA	NA	NA	NA	1.661267031	1.590862291	NA	NA	1.648820894	NA	1.905679461	1.582171022	NA	1.428256874	NA	NA	1.331195979	1.931834087	1.818271713	1.884799504	1.6	NA	NA	1.4	NA	NA
